,employeeid,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,weekbefore,ncoachingid,total coaching improved,csat,actualvalue
20,26702621,100.0,97.75555555555555,97.5,98.61125,,93.75,,83.33,1.0,,95.3,76.92
21,26702623,100.0,100.0,88.89,,100.0,100.0,100.0,66.67,2.0,2.0,94.94,
22,26702625,96.66666666666667,83.95875,,,100.0,95.08875,97.61857142857143,100.0,5.0,1.0,95.42,85.71
23,26702629,100.0,91.66749999999999,,,92.70875000000001,97.61857142857141,100.0,100.0,,,95.86,96.67
24,26702653,93.87714285714286,98.76555555555555,96.76857142857143,98.70142857142856,,95.44111111111111,,100.0,4.0,2.0,94.19,97.50
25,26702653,93.87714285714286,98.76555555555555,96.76857142857143,98.70142857142856,,95.44111111111111,,85.71,4.0,2.0,94.19,97.50
26,26702678,95.71375,96.29666666666668,95.23714285714286,97.61857142857143,,97.77777777777777,,100.0,,,95.74,96.43
27,26702678,95.71375,96.29666666666668,95.23714285714286,97.61857142857143,,97.77777777777777,,100.0,,,95.74,96.43
28,26702685,88.4725,97.77777777777777,92.60142857142857,96.875,100.0,98.41222222222223,,100.0,2.0,2.0,93.25,95.45
29,26702685,88.4725,97.77777777777777,92.60142857142857,96.875,100.0,98.41222222222223,,100.0,2.0,2.0,93.25,95.45
30,26702704,90.0,,100.0,,94.44333333333333,100.0,100.0,80.0,2.0,1.0,95.52,95.83
31,26702704,90.0,,100.0,,94.44333333333333,100.0,100.0,100.0,2.0,1.0,95.52,95.83
32,26702710,97.22166666666665,98.824,,,98.14833333333333,97.61833333333334,86.666,100.0,,,97.94,
33,26702714,90.8325,90.27833333333335,84.72166666666666,91.66714285714286,,100.0,,100.0,3.0,1.0,94.41,89.29
34,26702714,90.8325,90.27833333333335,84.72166666666666,91.66714285714286,,100.0,,100.0,3.0,1.0,94.41,89.29
35,26702734,100.0,,91.66666666666667,66.67,96.18999999999998,89.445,92.98625,100.0,4.0,4.0,96.11,87.50
36,26702734,100.0,,91.66666666666667,66.67,96.18999999999998,89.445,92.98625,100.0,4.0,4.0,96.11,87.50
37,26702738,100.0,,100.0,100.0,95.83375,97.77799999999999,91.66714285714286,100.0,2.0,1.0,95.78,100.00
38,26702738,100.0,,100.0,100.0,95.83375,97.77799999999999,91.66714285714286,100.0,2.0,1.0,95.78,100.00
39,26702740,97.142,90.625,100.0,97.14285714285714,,100.0,,100.0,3.0,2.0,94.92,
